Periodo,demanda,producción,ARIMA_Demanda,ARIMA_Demanda_Lower80,ARIMA_Demanda_Upper80,ARIMA_Produccion,ARIMA_Produccion_Lower80,ARIMA_Produccion_Upper80,RW_Demanda,RW_Demanda_Lower80,RW_Demanda_Upper80,RW_Produccion,RW_Produccion_Lower80,RW_Produccion_Upper80,VAR_Demanda,VAR_Demanda_Lower80,VAR_Demanda_Upper80,VAR_Produccion,VAR_Produccion_Lower80,VAR_Produccion_Upper80,Combined_Forecast_Demanda,Combined_Forecast_Oferta,Combined_Lower80_Demanda,Combined_Upper80_Demanda,Combined_Lower80_Produccion,Combined_Upper80_Produccion,Combined_Forecast_Produccion
3/1/2016,1612081.771,2091912.273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2016,1592858.081,1882814.479,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5/1/2016,1593494.263,2021179.977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6/1/2016,1586216.276,1907334.526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7/1/2016,1553338.184,1870758.766,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8/1/2016,1543937.989,1890931.791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9/1/2016,1549777.653,1828639.379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10/1/2016,1561877.013,1850945.798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11/1/2016,1551365.817,1803900.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12/1/2016,1602402.388,1938236.754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1/1/2017,1634492.971,1963482.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2/1/2017,1567020.492,1797267.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3/1/2017,1640908.077,2120669.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4/1/2017,1676629.845,1982296.593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
